,chn,voltage,current,in_compliance,chn,voltage,current,in_compliance,chn,voltage,current,in_compliance,chn,voltage,current,in_compliance,chn,voltage,current,in_compliance,chn,voltage,current,in_compliance,chn,voltage,current,in_compliance,chn,voltage,current,in_compliance,chn,voltage,current,in_compliance
0,Q,0.0,-6.71875e-09,False,BLB,1.50000075,5.0343750000000004e-08,False,VSS,0.0,-2.1937499999999997e-08,False,BL,1.50000075,4.419791666666666e-08,False,QB,0.52665,1.3895833333333333e-08,False,WL,7.5e-07,-6.6145833333333334e-09,False,VDD,1.5000010000000001,2.94375e-08,False,VDD12,1.5000005,3.719791666666667e-08,False,VSS12,-7.5e-07,-1.6562500000000001e-09,False
1,Q,2.5000000000000004e-07,-4.135416666666667e-09,False,BLB,1.5000012500000002,4.7020833333333337e-08,False,VSS,-1.2499999999999999e-06,-1.1166666666666666e-08,False,BL,1.49999975,3.742708333333333e-08,False,QB,0.465925,1.03125e-08,False,WL,1.5e-06,-7.5625e-09,False,VDD,1.5000005,2.440625e-08,False,VDD12,1.5000010000000001,3.083333333333334e-08,False,VSS12,1.2499999999999999e-06,2.9166666666666664e-10,False
2,Q,0.05,-1.5625000000000001e-09,False,BLB,1.4999985,4.627083333333334e-08,False,VSS,0.0,-1.046875e-08,False,BL,1.50000025,3.4864583333333337e-08,False,QB,0.41974999999999996,7.875000000000001e-09,False,WL,1.0000000000000002e-06,-3.5833333333333336e-09,False,VDD,1.499999,2.3114583333333334e-08,False,VDD12,1.5000005,2.6854166666666668e-08,False,VSS12,-2.5000000000000004e-07,1.34375e-09,False
3,Q,0.10000024999999998,-1.7708333333333334e-10,False,BLB,1.49999975,4.5583333333333335e-08,False,VSS,5.000000000000001e-07,-1.0208333333333332e-08,False,BL,1.5,3.2364583333333334e-08,False,QB,0.38325,6.5416666666666665e-09,False,WL,5.000000000000001e-07,-4.0416666666666665e-09,False,VDD,1.5000010000000001,2.0458333333333333e-08,False,VDD12,1.49999925,2.596875e-08,False,VSS12,-5.000000000000001e-07,1.1041666666666666e-09,False
4,Q,0.1499995,1.2395833333333335e-09,False,BLB,1.50000075,4.4416666666666664e-08,False,VSS,2.5000000000000004e-07,-1.0093750000000002e-08,False,BL,1.4999995,3.1406250000000004e-08,False,QB,0.353675,5.25e-09,False,WL,-2.5000000000000004e-07,-5.90625e-09,False,VDD,1.49999975,1.90625e-08,False,VDD12,1.5,2.4156249999999998e-08,False,VSS12,-7.5e-07,2.104166666666667e-09,False
5,Q,0.20000099999999998,1.6562500000000001e-09,False,BLB,1.50000075,4.589583333333334e-08,False,VSS,2.5000000000000004e-07,-9.354166666666667e-09,False,BL,1.49999975,2.963541666666667e-08,False,QB,0.32905,4.229166666666667e-09,False,WL,-2.5000000000000004e-07,-2.9895833333333332e-09,False,VDD,1.50000025,1.6885416666666667e-08,False,VDD12,1.5000010000000001,2.290625e-08,False,VSS12,-7.5e-07,1.8750000000000002e-09,False
6,Q,0.24999925,2.28125e-09,False,BLB,1.5,4.551041666666667e-08,False,VSS,-5.000000000000001e-07,-1.028125e-08,False,BL,1.50000075,2.9229166666666665e-08,False,QB,0.308475,3.875e-09,False,WL,2.5000000000000004e-07,-3.3020833333333335e-09,False,VDD,1.50000025,1.6666666666666667e-08,False,VDD12,1.5,2.2656249999999998e-08,False,VSS12,0.0,2.5416666666666663e-09,False
7,Q,0.30000025,2.3020833333333333e-09,False,BLB,1.5000012500000002,4.5312499999999996e-08,False,VSS,-2.5000000000000004e-07,-9.958333333333335e-09,False,BL,1.50000075,2.803125e-08,False,QB,0.291025,3e-09,False,WL,0.0,-5.020833333333334e-09,False,VDD,1.50000025,1.565625e-08,False,VDD12,1.5,2.1489583333333334e-08,False,VSS12,0.0,2.604166666666667e-09,False
8,Q,0.34999925000000004,3.65625e-09,False,BLB,1.50000025,4.4885416666666666e-08,False,VSS,1.2499999999999999e-06,-9.156250000000001e-09,False,BL,1.50000025,2.8e-08,False,QB,0.2762,2.78125e-09,False,WL,-2.5000000000000004e-07,-1.2708333333333331e-09,False,VDD,1.50000025,1.5000000000000002e-08,False,VDD12,1.5000005,2.0458333333333333e-08,False,VSS12,0.0,3.614583333333333e-09,False
9,Q,0.40000125,4.291666666666666e-09,False,BLB,1.4999995,4.48125e-08,False,VSS,0.0,-9.322916666666668e-09,False,BL,1.50000075,2.761458333333333e-08,False,QB,0.263025,2.59375e-09,False,WL,2.5000000000000004e-07,-4.354166666666668e-09,False,VDD,1.49999975,1.4635416666666667e-08,False,VDD12,1.4999985,1.863541666666667e-08,False,VSS12,2.5000000000000004e-07,2.9375000000000002e-09,False
10,Q,0.45000025,4.572916666666667e-09,False,BLB,1.50000025,4.4593749999999995e-08,False,VSS,0.0,-9.770833333333334e-09,False,BL,1.4999995,2.6635416666666665e-08,False,QB,0.2526,2.09375e-09,False,WL,2.5000000000000004e-07,-5.5729166666666665e-09,False,VDD,1.4999995,1.4281250000000001e-08,False,VDD12,1.49999975,1.790625e-08,False,VSS12,0.0,2.6354166666666667e-09,False
11,Q,0.50000025,5.291666666666667e-09,False,BLB,1.5000005,4.379166666666667e-08,False,VSS,-5.000000000000001e-07,-8.53125e-09,False,BL,1.49999975,2.5635416666666666e-08,False,QB,0.24282499999999999,1.8125e-09,False,WL,7.5e-07,-2.78125e-09,False,VDD,1.50000025,1.3114583333333334e-08,False,VDD12,1.4999995,1.853125e-08,False,VSS12,-1.2499999999999999e-06,2.479166666666667e-09,False
12,Q,0.5499997499999999,5.8750000000000005e-09,False,BLB,1.50000025,4.419791666666666e-08,False,VSS,0.0,-8.364583333333334e-09,False,BL,1.49999975,2.571875e-08,False,QB,0.23435,1.53125e-09,False,WL,5.000000000000001e-07,-4.010416666666667e-09,False,VDD,1.50000025,1.4e-08,False,VDD12,1.49999975,1.8270833333333334e-08,False,VSS12,0.0,2.0520833333333335e-09,False
13,Q,0.59999925,5.510416666666668e-09,False,BLB,1.5000012500000002,4.307291666666667e-08,False,VSS,0.0,-8.822916666666667e-09,False,BL,1.50000075,2.532291666666667e-08,False,QB,0.22664999999999996,1.3750000000000001e-09,False,WL,2.5000000000000004e-07,-4.260416666666666e-09,False,VDD,1.49999975,1.3791666666666666e-08,False,VDD12,1.49999925,1.8166666666666667e-08,False,VSS12,-7.5e-07,2.4479166666666667e-09,False
14,Q,0.6499995000000001,6.395833333333334e-09,False,BLB,1.5000012500000002,4.2385416666666664e-08,False,VSS,-1.0000000000000002e-06,-9.572916666666667e-09,False,BL,1.49999975,2.5114583333333335e-08,False,QB,0.220075,1.2291666666666667e-09,False,WL,2.5000000000000004e-07,-2.072916666666667e-09,False,VDD,1.4999995,1.3010416666666667e-08,False,VDD12,1.50000025,1.755208333333333e-08,False,VSS12,0.0,3.4895833333333336e-09,False
15,Q,0.7,7.135416666666667e-09,False,BLB,1.4999995,4.1895833333333335e-08,False,VSS,0.0,-9.593750000000001e-09,False,BL,1.5000015000000002,2.6020833333333334e-08,False,QB,0.214225,1.0312500000000001e-09,False,WL,-1.2499999999999999e-06,-4.572916666666667e-09,False,VDD,1.50000075,1.3052083333333334e-08,False,VDD12,1.50000075,1.8052083333333334e-08,False,VSS12,-5.000000000000001e-07,2.5e-09,False
16,Q,0.75,7.5625e-09,False,BLB,1.5,4.0822916666666665e-08,False,VSS,-2.5000000000000004e-07,-8.812499999999999e-09,False,BL,1.4999995,2.5458333333333338e-08,False,QB,0.20887500000000003,1.0104166666666666e-09,False,WL,-2.5000000000000004e-07,-2.9270833333333335e-09,False,VDD,1.50000025,1.3177083333333333e-08,False,VDD12,1.49999975,1.6760416666666667e-08,False,VSS12,5.000000000000001e-07,2.09375e-09,False
17,Q,0.7999995000000001,8.5625e-09,False,BLB,1.50000025,4.075e-08,False,VSS,-5.000000000000001e-07,-8.5625e-09,False,BL,1.50000025,2.521875e-08,False,QB,0.204125,7.916666666666668e-10,False,WL,-2.5000000000000004e-07,-2.03125e-09,False,VDD,1.50000075,1.2239583333333334e-08,False,VDD12,1.49999925,1.6989583333333334e-08,False,VSS12,0.0,2.2291666666666668e-09,False
18,Q,0.85000075,8.572916666666668e-09,False,BLB,1.4999995,4.129166666666666e-08,False,VSS,-5.000000000000001e-07,-8.010416666666667e-09,False,BL,1.50000075,2.503125e-08,False,QB,0.19980000000000003,6.770833333333334e-10,False,WL,-7.5e-07,-3.875e-09,False,VDD,1.50000025,1.2093749999999999e-08,False,VDD12,1.50000025,1.5916666666666667e-08,False,VSS12,0.0,2.6458333333333335e-09,False
19,Q,0.8999997499999999,8.708333333333335e-09,False,BLB,1.50000025,4.1177083333333334e-08,False,VSS,2.5000000000000004e-07,-9.145833333333333e-09,False,BL,1.50000075,2.4072916666666664e-08,False,QB,0.19592500000000002,6.666666666666667e-10,False,WL,2.5000000000000004e-07,-2.1354166666666668e-09,False,VDD,1.499999,1.1385416666666666e-08,False,VDD12,1.49999975,1.5333333333333335e-08,False,VSS12,0.0,3.3333333333333334e-09,False
20,Q,0.95000025,9.28125e-09,False,BLB,1.5000005,4.073958333333333e-08,False,VSS,-5.000000000000001e-07,-8.343750000000002e-09,False,BL,1.50000025,2.465625e-08,False,QB,0.19252500000000003,7.812500000000001e-10,False,WL,-2.5000000000000004e-07,-3.4895833333333336e-09,False,VDD,1.49999975,1.1072916666666665e-08,False,VDD12,1.50000025,1.471875e-08,False,VSS12,0.0,3.5625000000000005e-09,False
21,Q,0.99999925,1.0989583333333333e-08,False,BLB,1.50000025,4.1020833333333336e-08,False,VSS,7.5e-07,-8.229166666666667e-09,False,BL,1.49999975,2.404166666666667e-08,False,QB,0.18927500000000003,5.833333333333334e-10,False,WL,1.0000000000000002e-06,-3.385416666666667e-09,False,VDD,1.499999,1.1510416666666668e-08,False,VDD12,1.5000010000000001,1.5333333333333335e-08,False,VSS12,0.0,4.0416666666666665e-09,False
22,Q,1.049999,1.084375e-08,False,BLB,1.50000025,4.066666666666666e-08,False,VSS,2.5000000000000004e-07,-8.270833333333334e-09,False,BL,1.49999875,2.395833333333333e-08,False,QB,0.18645,5.416666666666668e-10,False,WL,-1.5e-06,-1.5625000000000001e-09,False,VDD,1.50000025,9.75e-09,False,VDD12,1.49999925,1.5927083333333333e-08,False,VSS12,0.0,3.3541666666666665e-09,False
23,Q,1.0999994999999998,1.2197916666666667e-08,False,BLB,1.499999,4.121875e-08,False,VSS,5.000000000000001e-07,-8.15625e-09,False,BL,1.4999995,2.3489583333333336e-08,False,QB,0.183925,4.895833333333334e-10,False,WL,-1.0000000000000002e-06,-5e-09,False,VDD,1.49999975,1.0552083333333333e-08,False,VDD12,1.49999975,1.55e-08,False,VSS12,0.0,3.989583333333333e-09,False
24,Q,1.15000075,1.2479166666666668e-08,False,BLB,1.5000005,4.09375e-08,False,VSS,-5.000000000000001e-07,-9.145833333333333e-09,False,BL,1.49999975,2.2520833333333332e-08,False,QB,0.1816,4.375000000000001e-10,False,WL,2.5000000000000004e-07,-4.072916666666666e-09,False,VDD,1.5000005,1.0447916666666668e-08,False,VDD12,1.5000010000000001,1.4979166666666666e-08,False,VSS12,0.0,4.65625e-09,False
25,Q,1.1999985,1.3145833333333334e-08,False,BLB,1.5,3.998958333333334e-08,False,VSS,0.0,-8.645833333333334e-09,False,BL,1.49999975,2.3770833333333337e-08,False,QB,0.179375,3.8541666666666676e-10,False,WL,-2.5000000000000004e-07,-1.53125e-09,False,VDD,1.49999975,1.0458333333333333e-08,False,VDD12,1.49999975,1.559375e-08,False,VSS12,5.000000000000001e-07,4.260416666666666e-09,False
26,Q,1.2499995,1.4e-08,False,BLB,1.49999975,3.976041666666667e-08,False,VSS,-5.000000000000001e-07,-8.666666666666667e-09,False,BL,1.4999995,2.3395833333333335e-08,False,QB,0.17750000000000002,3.229166666666667e-10,False,WL,-2.5000000000000004e-07,-4.8125e-09,False,VDD,1.49999975,9.979166666666668e-09,False,VDD12,1.5,1.5041666666666667e-08,False,VSS12,-5.000000000000001e-07,4.927083333333333e-09,False
27,Q,1.3000010000000002,1.3291666666666667e-08,False,BLB,1.50000025,3.9281250000000006e-08,False,VSS,7.5e-07,-9.572916666666667e-09,False,BL,1.49999975,2.2895833333333334e-08,False,QB,0.175575,3.3333333333333337e-10,False,WL,2.5000000000000004e-07,-2.072916666666667e-09,False,VDD,1.50000025,1.0479166666666667e-08,False,VDD12,1.5,1.453125e-08,False,VSS12,0.0,4.572916666666667e-09,False
28,Q,1.3500002500000001,1.3479166666666667e-08,False,BLB,1.4999995,3.877083333333334e-08,False,VSS,-2.5000000000000004e-07,-9.000000000000001e-09,False,BL,1.49999975,2.2989583333333334e-08,False,QB,0.173975,2.2916666666666668e-10,False,WL,-2.5000000000000004e-07,-1.9583333333333335e-09,False,VDD,1.49999925,8.760416666666667e-09,False,VDD12,1.49999925,1.4072916666666667e-08,False,VSS12,0.0,4.500000000000001e-09,False
29,Q,1.39999975,1.3885416666666667e-08,False,BLB,1.5,3.853125e-08,False,VSS,2.5000000000000004e-07,-8.802083333333334e-09,False,BL,1.4999995,2.2739583333333332e-08,False,QB,0.172475,2.2916666666666668e-10,False,WL,2.5000000000000004e-07,-4.1875e-09,False,VDD,1.49999975,9.458333333333334e-09,False,VDD12,1.5000005,1.4052083333333335e-08,False,VSS12,0.0,4.197916666666667e-09,False
30,Q,1.5000012500000002,1.4489583333333334e-08,False,BLB,1.50000025,4.046875e-08,False,VSS,0.0,-9.093750000000002e-09,False,BL,1.49999975,2.2322916666666665e-08,False,QB,0.171125,2.1875000000000005e-10,False,WL,5.000000000000001e-07,-8.333333333333334e-11,False,VDD,1.49999975,8.427083333333332e-09,False,VDD12,1.49999975,1.6427083333333334e-08,False,VSS12,1.2499999999999999e-06,4.3854166666666675e-09,False
